,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled,Unnamed: 0,Coefficient,Weighted_percent_filled
3284,p-n-2,Y-coord,-1.0-1.0,0.75,1214.0,206.0,14.507042253521126,51,0.0211568855160003,0.3069238321335254
3285,p-n-3,Y-coord,-1.0-1.0,0.75,1331.0,89.0,6.267605633802817,51,0.0211568855160003,0.13260301485380468
3286,p-n-4,Y-coord,-1.0-1.0,0.75,1191.0,229.0,16.12676056338028,51,0.0211568855160003,0.3411920269833851
3287,p-o-10,Y-coord,-1.0-1.0,0.75,1411.0,9.0,0.6338028169014085,51,0.0211568855160003,0.013409293636901598
3288,p-o-11,Y-coord,-1.0-1.0,0.75,1387.0,33.0,2.323943661971831,51,0.0211568855160003,0.04916741000197253
3289,p-o-12,Y-coord,-1.0-1.0,0.75,1415.0,5.0,0.352112676056338,51,0.0211568855160003,0.007449607576056443
3290,p-o-13,Y-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,51,0.0211568855160003,0.0
3291,p-o-14,Y-coord,-1.0-1.0,0.75,1309.0,111.0,7.816901408450704,51,0.0211568855160003,0.16538128818845302
3292,p-o-15,Y-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,51,0.0211568855160003,0.0
3293,p-o-16,Y-coord,-1.0-1.0,0.75,1298.0,122.0,8.591549295774648,51,0.0211568855160003,0.1817704248557772
3294,p-o-17,Y-coord,-1.0-1.0,0.75,1416.0,4.0,0.28169014084507044,51,0.0211568855160003,0.005959686060845155
3295,p-o-18,Y-coord,-1.0-1.0,0.75,1380.0,40.0,2.816901408450704,51,0.0211568855160003,0.05959686060845154
3296,p-o-19,Y-coord,-1.0-1.0,0.75,1375.0,45.0,3.1690140845070425,51,0.0211568855160003,0.06704646818450799
3297,p-o-20,Y-coord,-1.0-1.0,0.75,1258.0,162.0,11.408450704225352,51,0.0211568855160003,0.24136728546422875
3298,p-o-21,Y-coord,-1.0-1.0,0.75,1331.0,89.0,6.267605633802817,51,0.0211568855160003,0.13260301485380468
3299,p-o-22,Y-coord,-1.0-1.0,0.75,1289.0,131.0,9.225352112676056,51,0.0211568855160003,0.1951797184926788
3300,p-o-23,Y-coord,-1.0-1.0,0.75,1249.0,171.0,12.04225352112676,51,0.0211568855160003,0.25477657910113033
3301,p-o-24,Y-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,51,0.0211568855160003,0.0
3302,p-o-25,Y-coord,-1.0-1.0,0.75,1289.0,131.0,9.225352112676056,51,0.0211568855160003,0.1951797184926788
3303,p-o-26,Y-coord,-1.0-1.0,0.75,1369.0,51.0,3.591549295774648,51,0.0211568855160003,0.07598599727577572
3304,p-o-27,Y-coord,-1.0-1.0,0.75,1320.0,100.0,7.042253521126761,51,0.0211568855160003,0.14899215152112888
3305,p-o-28,Y-coord,-1.0-1.0,0.75,1239.0,181.0,12.746478873239436,51,0.0211568855160003,0.26967579425324323
3306,p-o-29,Y-coord,-1.0-1.0,0.75,1329.0,91.0,6.408450704225352,51,0.0211568855160003,0.13558285788422725
3307,p-o-30,Y-coord,-1.0-1.0,0.75,1391.0,29.0,2.0422535211267605,51,0.0211568855160003,0.04320772394112737
3308,p-o-31,Y-coord,-1.0-1.0,0.75,1216.0,204.0,14.366197183098592,51,0.0211568855160003,0.3039439891031029
3309,p-o-32,Y-coord,-1.0-1.0,0.75,1414.0,6.0,0.4225352112676056,51,0.0211568855160003,0.008939529091267731
3310,p-o-33,Y-coord,-1.0-1.0,0.75,1390.0,30.0,2.112676056338028,51,0.0211568855160003,0.044697645456338655
3311,p-o-34,Y-coord,-1.0-1.0,0.75,1414.0,6.0,0.4225352112676056,51,0.0211568855160003,0.008939529091267731
3312,p-o-35,Y-coord,-1.0-1.0,0.75,1244.0,176.0,12.394366197183098,51,0.0211568855160003,0.2622261866771868
3313,p-o-36,Y-coord,-1.0-1.0,0.75,1145.0,275.0,19.366197183098592,51,0.0211568855160003,0.4097284166831044
3314,p-o-37,Y-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,51,0.0211568855160003,0.0
3315,p-o-38,Y-coord,-1.0-1.0,0.75,1246.0,174.0,12.253521126760564,51,0.0211568855160003,0.25924634364676424
3316,p-o-39,Y-coord,-1.0-1.0,0.75,1247.0,173.0,12.183098591549296,51,0.0211568855160003,0.2577564221315529
3317,p-o-40,Y-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,51,0.0211568855160003,0.0
3318,p-o-41,Y-coord,-1.0-1.0,0.75,1404.0,16.0,1.1267605633802817,51,0.0211568855160003,0.02383874424338062
3319,p-o-42,Y-coord,-1.0-1.0,0.75,1298.0,122.0,8.591549295774648,51,0.0211568855160003,0.1817704248557772
3320,p-o-43,Y-coord,-1.0-1.0,0.75,1383.0,37.0,2.6056338028169015,51,0.0211568855160003,0.05512709606281768
3321,p-o-44,Y-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,51,0.0211568855160003,0.0
3322,p-o-45,Y-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,51,0.0211568855160003,0.0
3323,p-o-46,Y-coord,-1.0-1.0,0.75,1346.0,74.0,5.211267605633803,51,0.0211568855160003,0.11025419212563536
3324,p-o-47,Y-coord,-1.0-1.0,0.75,1418.0,2.0,0.14084507042253522,51,0.0211568855160003,0.0029798430304225775
3325,p-o-48,Y-coord,-1.0-1.0,0.75,1295.0,125.0,8.80281690140845,51,0.0211568855160003,0.18624018940141107
3326,p-o-8,Y-coord,-1.0-1.0,0.75,1259.0,161.0,11.338028169014084,51,0.0211568855160003,0.23987736394901746
3327,p-o-9,Y-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,51,0.0211568855160003,0.0
3328,c-n-1,Y-coord,-1.0-1.0,1.0,1195.0,225.0,15.845070422535212,52,0.0070271731700037,0.11134605375005863
3329,c-n-2,Y-coord,-1.0-1.0,1.0,1180.0,240.0,16.901408450704224,52,0.0070271731700037,0.11876912400006252
3330,c-n-3,Y-coord,-1.0-1.0,1.0,1183.0,237.0,16.690140845070424,52,0.0070271731700037,0.11728450995006176
3331,c-o-1,Y-coord,-1.0-1.0,1.0,1217.0,203.0,14.295774647887324,52,0.0070271731700037,0.10045888405005289
3332,c-o-2,Y-coord,-1.0-1.0,1.0,1263.0,157.0,11.056338028169014,52,0.0070271731700037,0.0776948019500409
3333,c-o-3,Y-coord,-1.0-1.0,1.0,1169.0,251.0,17.676056338028168,52,0.0070271731700037,0.12421270885006538
3334,c-o-4,Y-coord,-1.0-1.0,1.0,1175.0,245.0,17.253521126760564,52,0.0070271731700037,0.12124348075006383
3335,c-o-5,Y-coord,-1.0-1.0,1.0,1209.0,211.0,14.859154929577464,52,0.0070271731700037,0.10441785485005498
3336,c-o-6,Y-coord,-1.0-1.0,1.0,1173.0,247.0,17.3943661971831,52,0.0070271731700037,0.12223322345006436
3337,c-o-7,Y-coord,-1.0-1.0,1.0,1175.0,245.0,17.253521126760564,52,0.0070271731700037,0.12124348075006383
3338,c-o-8,Y-coord,-1.0-1.0,1.0,1187.0,233.0,16.408450704225352,52,0.0070271731700037,0.11530502455006071
3339,c-p-1,Y-coord,-1.0-1.0,1.0,1271.0,149.0,10.492957746478874,52,0.0070271731700037,0.07373583115003883
3340,c-s-1,Y-coord,-1.0-1.0,1.0,1300.0,120.0,8.450704225352112,52,0.0070271731700037,0.05938456200003126
3341,n-o-1,Y-coord,-1.0-1.0,1.0,1394.0,26.0,1.8309859154929577,52,0.0070271731700037,0.012866655100006775
3342,n-o-2,Y-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,52,0.0070271731700037,0.0
